symbol,timestamp,timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,circulatingSupply
USDC,2023-12-19 23:59:59,2023-12-19 00:00:00,2023-12-19 23:59:59,2023-12-19 15:22:00,2023-12-19 13:31:00,1.0000007586,1.0009368216,0.9996962678,1.000257131,5304568228.22,24757013170.41,24750649010.55
USDC,2023-12-20 23:59:59,2023-12-20 00:00:00,2023-12-20 23:59:59,2023-12-20 08:10:00,2023-12-20 13:59:00,1.0001542924,1.0012373448,0.9997217993,1.0000265814,5626388920.78,24877977121.58,24877315848.87
USDC,2023-12-21 23:59:59,2023-12-21 00:00:00,2023-12-21 23:59:59,2023-12-21 19:36:00,2023-12-21 02:20:00,0.999964696,1.0006767565,0.9997037745,0.9999822615,5752000925.97,24827201735.41,24827642139.59
USDC,2023-12-22 23:59:59,2023-12-22 00:00:00,2023-12-22 23:59:59,2023-12-22 13:31:00,2023-12-22 10:20:00,0.9999824018,1.0010389844,0.9998433625,1.000204845,6215615616.47,25018798026.73,25013674101.22
USDC,2023-12-23 23:59:59,2023-12-23 00:00:00,2023-12-23 23:59:59,2023-12-23 19:13:00,2023-12-23 20:26:00,1.0002130686,1.0006594021,0.9998738873,1.0002481586,3587593263.26,25075032029.71,25068810987.78
USDC,2023-12-24 23:59:59,2023-12-24 00:00:00,2023-12-24 23:59:59,2023-12-24 23:24:00,2023-12-24 11:51:00,1.0000511723,1.000690915,0.9997204917,1.0003088152,4449639052.23,25109287881.52,25101536144.72
USDC,2023-12-25 23:59:59,2023-12-25 00:00:00,2023-12-25 23:59:59,2023-12-25 02:07:00,2023-12-25 14:55:00,1.0003117929,1.0006063252,0.9997962945,1.0003972553,4515777689.24,25061070922.01,25051119232.35
USDC,2023-12-26 23:59:59,2023-12-26 00:00:00,2023-12-26 23:59:59,2023-12-26 17:32:00,2023-12-26 16:23:00,1.0002652378,1.0006517293,0.9997087902,1.0003572185,5897181585.22,24735701795.8,24726868899.57
USDC,2023-12-27 23:59:59,2023-12-27 00:00:00,2023-12-27 23:59:59,2023-12-27 04:49:00,2023-12-27 05:12:00,1.0003367251,1.0008498713,0.9998852079,0.9999608586,6415682080.62,24817116201.08,24818087616.61
USDC,2023-12-28 23:59:59,2023-12-28 00:00:00,2023-12-28 23:59:59,2023-12-28 18:38:00,2023-12-28 05:59:00,1.0001546227,1.000982133,0.9996845362,1.0007509123,6962497225.52,24893603180.18,24874924293.41
USDC,2023-12-29 23:59:59,2023-12-29 00:00:00,2023-12-29 23:59:59,2023-12-29 21:55:00,2023-12-29 20:52:00,1.000660026,1.0011737423,0.9999212391,1.0003425758,6732719103.28,24772800076.85,24764316422.48
USDC,2023-12-30 23:59:59,2023-12-30 00:00:00,2023-12-30 23:59:59,2023-12-30 09:08:00,2023-12-30 21:03:00,1.0003819283,1.0011574222,0.9998560151,1.0003301954,3591793169.18,24668758703.07,24874924293.41
USDC,2023-12-31 23:59:59,2023-12-31 00:00:00,2023-12-31 23:59:59,2023-12-31 02:40:00,2023-12-31 15:36:00,1.0001356905,1.0012272117,0.9998343565,1.0000696458,3568612484.1,24519751149.22,24518043570.86
USDC,2024-01-01 23:59:59,2024-01-01 00:00:00,2024-01-01 23:59:59,2024-01-01 05:02:00,2024-01-01 04:04:00,1.0000953939,1.0007766025,0.9998427942,1.0001309506,3619152849.75,24546920962.79,24543706949.67
USDC,2024-01-02 23:59:59,2024-01-02 00:00:00,2024-01-02 23:59:59,2024-01-02 23:57:00,2024-01-02 07:28:00,1.0000250982,1.0007604568,0.9994847918,1.0001629451,7168716922.84,24785109948.92,24781071993.61
USDC,2024-01-03 23:59:59,2024-01-03 00:00:00,2024-01-03 23:59:59,2024-01-03 15:02:00,2024-01-03 12:11:00,1.0000899981,1.0009255195,0.9978137632,1.0001823519,9659438355.09,24916102582.69,24911559911.45
USDC,2024-01-04 23:59:59,2024-01-04 00:00:00,2024-01-04 23:59:59,2024-01-04 17:18:00,2024-01-04 23:52:00,0.9999160874,1.0006549012,0.9998550429,0.9999793379,6513854272.9,25132460067.34,25132979368.71
USDC,2024-01-05 23:59:59,2024-01-05 00:00:00,2024-01-05 23:59:59,2024-01-05 17:10:00,2024-01-05 03:02:00,0.9998750484,1.0007436294,0.9996708659,1.0000513161,6668210535.76,25348955833.86,25347655089.97
USDC,2024-01-06 23:59:59,2024-01-06 00:00:00,2024-01-06 23:59:59,2024-01-06 05:30:00,2024-01-06 19:48:00,1.0000539181,1.0004961092,0.9997773425,1.0001126255,3301845016.4,25399267724.73,25396407441.04
USDC,2024-01-07 23:59:59,2024-01-07 00:00:00,2024-01-07 23:59:59,2024-01-07 10:53:00,2024-01-07 13:24:00,0.9999928359,1.0005853646,0.9996653604,0.9999800232,3454405965.18,25384180608.91,25384687714.98
USDC,2024-01-08 23:59:59,2024-01-08 00:00:00,2024-01-08 23:59:59,2024-01-08 09:37:00,2024-01-08 18:45:00,1.0000378127,1.0008578582,0.9994757409,0.9998548191,7434325806.39,25330732049.29,25334410122.94
USDC,2024-01-09 23:59:59,2024-01-09 00:00:00,2024-01-09 23:59:59,2024-01-09 12:57:00,2024-01-09 00:47:00,1.0000247872,1.0007222839,0.9994128599,0.9999921287,7685031178.67,25229069270.93,25229267856.9
USDC,2024-01-10 23:59:59,2024-01-10 00:00:00,2024-01-10 23:59:59,2024-01-10 16:10:00,2024-01-10 23:18:00,1.0000307263,1.0007100797,0.9994282953,0.9998149044,10293999660.47,25242165938.05,25246839016.22
USDC,2024-01-11 23:59:59,2024-01-11 00:00:00,2024-01-11 23:59:59,2024-01-11 13:06:00,2024-01-11 03:14:00,0.9998901699,1.000441829,0.9993774478,1.0002370053,9752773343.78,25249499861.86,25243517014.58
USDC,2024-01-12 23:59:59,2024-01-12 00:00:00,2024-01-12 23:59:59,2024-01-12 17:51:00,2024-01-12 09:17:00,1.000196983,1.0008012064,0.9994910748,1.0002951599,9173229465.18,25379148226.15,25371659529.96
USDC,2024-01-13 23:59:59,2024-01-13 00:00:00,2024-01-13 23:59:59,2024-01-13 16:05:00,2024-01-13 12:42:00,1.0004768779,1.0005564146,0.9997495227,1.0001497898,4721219489.01,25481679451.57,25477863127.93
USDC,2024-01-14 23:59:59,2024-01-14 00:00:00,2024-01-14 23:59:59,2024-01-14 10:48:00,2024-01-14 05:05:00,1.0001875468,1.000569773,0.9998867305,1.0001913923,3885825077.11,25486391647.5,25481514682.48
USDC,2024-01-15 23:59:59,2024-01-15 00:00:00,2024-01-15 23:59:59,2024-01-15 08:10:00,2024-01-15 15:06:00,1.000155309,1.0008500358,0.9998461509,1.0005221383,4968009259.16,25478813033.52,25465516511.19
USDC,2024-01-16 23:59:59,2024-01-16 00:00:00,2024-01-16 23:59:59,2024-01-16 14:33:00,2024-01-16 08:22:00,1.0002179044,1.0009318927,0.9998526537,1.0002059243,5325841668.16,25435131546.59,25429894913.73
USDC,2024-01-17 23:59:59,2024-01-17 00:00:00,2024-01-17 23:59:59,2024-01-17 20:55:00,2024-01-17 15:25:00,1.0001852921,1.0009564088,0.9998071435,1.0001636769,5296515231.83,25666081193.38,25661880936.84
USDC,2024-01-18 23:59:59,2024-01-18 00:00:00,2024-01-18 23:59:59,2024-01-18 14:51:00,2024-01-18 18:13:00,1.0001833726,1.0012331583,0.9996982905,1.0002171207,6065965042.9,25624196499.76,25618634163.91
